i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,10,5,4,2,2,29,52,1024,0.9551260471343994,0.0006489753723144,0.0460760593414306
1,10,5,3,2,2,30,60,1024,0.8353021144866943,0.0003333091735839,0.0927000045776367
2,10,5,4,2,2,19,17,1,0.6515827178955078,0.0003943443298339,0.0001857280731201
2,10,5,3,2,2,20,20,1,0.7095115184783936,0.0003721714019775,0.0002825260162353
3,10,5,4,2,2,19,17,1,0.6864004135131836,0.0002923011779785,0.0001730918884277
3,10,5,3,2,2,20,20,1,0.7487137317657471,0.0003623962402343,0.0002782344818115
4,10,5,4,2,2,19,17,1,0.8265907764434814,0.0003652572631835,0.0001976490020751
4,10,5,3,2,2,20,20,1,0.7933003902435303,0.000375747680664,0.0002791881561279
5,10,5,4,2,2,19,17,1,0.7692911624908447,0.0003762245178222,0.0002064704895019
5,10,5,3,2,2,20,20,1,0.8695576190948486,0.0003449916839599,0.000284194946289
6,10,5,4,2,2,39,105,59049,1.098047971725464,0.0003721714019775,2.3068408966064453
6,10,5,3,2,2,40,120,59049,0.9176533222198486,0.000385046005249,8.316922187805176
7,10,5,4,2,2,19,17,1,1.402118682861328,0.0003800392150878,0.0001823902130126
7,10,5,3,2,2,20,20,1,0.8622784614562988,0.000335693359375,0.0002589225769042
8,10,5,4,2,2,29,26,2,0.98256254196167,0.000356912612915,0.0003576278686523
8,10,5,3,2,2,30,30,1,1.00416898727417,0.0005719661712646,0.0007538795471191
9,10,5,4,2,2,29,52,1024,0.9701733589172364,0.0003678798675537,0.0336010456085205
9,10,5,3,2,2,30,60,1024,1.2311677932739258,0.0003588199615478,0.1035125255584716
10,10,5,4,2,2,19,17,1,0.8044981956481934,0.000521183013916,0.0002903938293457
10,10,5,3,2,2,20,20,1,0.8552100658416748,0.0003628730773925,0.000277042388916
11,10,5,4,2,2,19,17,1,0.8149187564849854,0.0003707408905029,0.0002045631408691
11,10,5,3,2,2,20,20,1,0.7998776435852051,0.0003402233123779,0.0002577304840087
12,10,5,4,2,2,19,16,0,0.7292463779449463,0.0004758834838867,0.0001413822174072
12,10,5,3,2,2,20,20,1,0.8570959568023682,0.0003502368927001,0.0002617835998535
13,10,5,4,2,2,19,17,1,0.8620564937591553,0.0004479885101318,0.0002243518829345
13,10,5,3,2,2,20,20,1,0.8478415012359619,0.0003345012664794,0.0002989768981933
14,10,5,4,2,2,19,17,1,0.8138773441314697,0.0003700256347656,0.000199556350708
14,10,5,3,2,2,20,20,1,0.8605551719665527,0.0003466606140136,0.0002670288085937
15,10,5,4,2,2,19,17,1,0.814316987991333,0.0003993511199951,0.0002162456512451
15,10,5,3,2,2,20,20,1,0.883056640625,0.0006036758422851,0.0004346370697021
16,10,5,4,2,2,19,17,1,0.8713057041168213,0.0003674030303955,0.0001916885375976
16,10,5,3,2,2,20,20,1,0.9113101959228516,0.0003745555877685,0.0002901554107666
17,10,5,4,2,2,20,18,2,0.8467822074890137,0.0004665851593017,0.0003108978271484
17,10,5,3,2,2,20,20,1,0.8546714782714844,0.0003941059112548,0.0003077983856201
18,10,5,4,2,2,28,25,1,0.8412182331085205,0.0004043579101562,0.0002355575561523
18,10,5,3,2,2,30,30,1,0.8533642292022705,0.000446081161499,0.0005769729614257
19,10,5,4,2,2,19,17,1,0.8198015689849854,0.0004787445068359,0.0002088546752929
19,10,5,3,2,2,20,20,1,0.8592967987060547,0.0005745887756347,0.0004396438598632
20,10,5,4,2,2,38,68,1024,0.9560964107513428,0.0004372596740722,0.0419304370880126
20,10,5,3,2,2,40,80,1024,1.164626121520996,0.0003943443298339,0.1767890453338623
21,10,5,4,2,2,47,84,1024,1.3003172874450684,0.0005717277526855,0.0519807338714599
21,10,5,3,2,2,50,100,1024,1.333747148513794,0.0007402896881103,0.2798309326171875
22,10,5,4,2,2,19,17,1,0.8160364627838135,0.0003409385681152,0.0001759529113769
22,10,5,3,2,2,20,20,1,0.8598904609680176,0.0005507469177246,0.0004222393035888
23,10,5,4,2,2,28,17,1,0.8654124736785889,0.0005686283111572,0.0002892017364501
23,10,5,3,2,2,30,20,1,1.1756935119628906,0.000439167022705,0.0003371238708496
24,10,5,4,2,2,38,68,1024,1.1160099506378174,0.0003700256347656,0.0422370433807373
24,10,5,3,2,2,40,80,1024,1.1518328189849854,0.0004379749298095,0.175450325012207
25,10,5,4,2,2,19,17,1,0.7912633419036865,0.0003178119659423,0.0001716613769531
